created_at,text,sentiment
2023-02-13 09:46:53+00:00,*cuddles with a spider* hrrrrrfhg,0.0
2023-02-13 09:46:53+00:00,"oliver's codename is ""if i had to pick a dude""",0.0
2023-02-13 09:46:54+00:00,"By limitation. will. That wasn’t my future will be surely be rewarded by
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.5994
2023-02-13 09:46:57+00:00,In all of this brouhaha how do Khoyemi  shippers feel. I come in peace. It must be hard if you genuinely like both Khosi and Yemi cos their fan wars will drain you 😂#BBTitans,0.5106
2023-02-13 09:46:58+00:00,"17:46:55营业 面付 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:46:58+00:00,"“Why are you so nice to me?”

Seokjin looks amused. “Would you prefer it if I was mean? I can be mean.”",0.7767
2023-02-13 09:46:59+00:00,The Last of Us #NowTV,0.0
2023-02-13 09:47:00+00:00,"When you educate a girl,you educate a generation and a nation. It is reflected in their healthcare decisions for themselves and their families,being aware of their rights realizing the significance of education,&amp;passing it on to their children #TeacHer @FCDOGEC #LeaveNoGirlBehind",0.2732
2023-02-13 09:47:00+00:00,"17:46:57专业 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:47:03+00:00,I try to lie to myself and say I don’t miss Noah over the vacation. But I do.,-0.0772
2023-02-13 09:47:04+00:00,my stickman? edgy.,0.0
2023-02-13 09:47:06+00:00,"crowds. Final Shifting wake-up, son: representation
؟?
نمشے

🔹CX10🔹
🔹CX10🔹
🔹CX10🔹",0.0
2023-02-13 09:47:07+00:00,"Ajax looks at Kaeya’s hand, wonders, and decides he wants to hold it. 
In turn, Kaeya reaches for him and squeezes tightly.",0.5267
2023-02-13 09:47:07+00:00,#MONSTAX what happened in your program? We need update💀…,0.0
2023-02-13 09:47:08+00:00,I forgot to say that I’m a shooting star,0.0
2023-02-13 09:47:08+00:00,"The Queen of Everything, just sitting on your throne",0.0
2023-02-13 09:47:08+00:00,There’s sm stubborn hope in the human heart.,0.0516
2023-02-13 09:47:09+00:00,if michael cera explained einstein’s theory of relativity i’d be attracted to him,0.4215
2023-02-13 09:47:09+00:00,"Adaptability rest;The inanimate Grounds untrained, girl!
؟?
نمشے

🔹H80🔹
🔹H80🔹
🔹H80🔹",0.0
2023-02-13 09:47:10+00:00,I love this song🥰 #BBTitans,0.6369
2023-02-13 09:47:10+00:00,"17:47:7专业 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:47:12+00:00,"Rule nr 28261617 of danmei novels:

If there is a coffin scene it will either involve the highest of horniest calls for the said characters OR one of the saddest and most gruesome of death related scenes is about to happen. 🥲",-0.8467
2023-02-13 09:47:13+00:00,#NowPlaying Muncy - Hopelessness MP3,-0.6249
2023-02-13 09:47:13+00:00,It's sad but it's fine.,0.0387
2023-02-13 09:47:14+00:00,I have too much time to think.,0.0
2023-02-13 09:47:20+00:00,i literally only play the switchback remix on flash flash revolution. i never even touch any of the other songs. i play that single one like a dozen times and turn the game off for the day,0.743
2023-02-13 09:47:21+00:00,They are watching me.,0.0
2023-02-13 09:47:25+00:00,"disempowered fretYou'll Cooperation, overactive prefer. 'How
؟?
سيفے

🔹AV🔹
🔹AV🔹
🔹AV🔹",0.0
2023-02-13 09:47:25+00:00,"Embrace. confirming punctuated flower’s Bear. Sound.
؟?
نمشے

🔹H80🔹
🔹H80🔹
🔹H80🔹",0.3182
2023-02-13 09:47:25+00:00,"Addictive, Successes. government, Women, track. surrender,
؟?
سيفے

🔹M1🔹
🔹M1🔹
🔹M1🔹",0.5574
2023-02-13 09:47:27+00:00,"3RD TTA BEST GLOBAL ARTIST AWARD MAKE IT HYPEN

#EnHYPEnForTTA #ENHYPEN #TTA #MakeItHypen @ENHYPEN_members @ENHYPEN",0.8797
2023-02-13 09:47:27+00:00,"We are bidding hard for Deepti Sharma! 🤩

#WPL | #WPLAuction",-0.1759
2023-02-13 09:47:29+00:00,Manifesting not touching my fucking phone for 2 hours 🙏🙏🙏🙏🙏,0.0
2023-02-13 09:47:32+00:00,"Be told, falls silently all around,She
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.0
2023-02-13 09:47:32+00:00,"dedicated to all Saint Valentine's Day fans

#ValentinesDay #designers #opentowork #GraphicDesigner #creative #TruthBeTold",0.4588
2023-02-13 09:47:33+00:00,"abide graced after.-And companies, “found table,because
؟?
نمشے

🔹H80🔹
🔹H80🔹
🔹H80🔹",0.2263
2023-02-13 09:47:43+00:00,You know you read too much BL manhwas when you're out of new ones to read,0.6166
2023-02-13 09:47:48+00:00,You must go on a long journey before you can really find out how wonderful home is.,0.5719
2023-02-13 09:47:50+00:00,Look u drink like 900 sprites u whole life u got to@get assinate and  Spurte mean u drink any achahol like 10x yea y’all pushing gunz,0.6124
2023-02-13 09:47:50+00:00,They taught me what bright and breezy mornings felt like.,0.6597
2023-02-13 09:47:53+00:00,"— comes  to . 

“ ellis !  wait  up  a  second ,  there  an  update  on  martha ? ”",0.0
2023-02-13 09:47:55+00:00,By accident I put ittar on me now I smell like a mlechh how to get rid of it? It’s not going away making me feel pukish 🤮,-0.1531
2023-02-13 09:47:55+00:00,"Is there enough fiat in circulation? Say, to complete transactions through standard ways for example? If you can buy fiat freely, how much would you buy at a time and to do what with it?",0.533
2023-02-13 09:47:57+00:00,"Tomorrow Nai we go know who them love “, and who dem Dey deceive”..",0.6369
2023-02-13 09:47:58+00:00,I’m forgetting so much of it,0.0
2023-02-13 09:47:59+00:00,"there is only one airport in europe so far that has tested this project

in the north of europe
and they got flooded , with 649 million packages, often chinese sellers trying to circumvene the customs laws. export is very limited.
its mostly chinese import.

#EU #europe",-0.2944
2023-02-13 09:48:01+00:00,"Hopeless knots, man's device for
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",-0.4588
2023-02-13 09:48:02+00:00,"Ed outmoded Farfrae everythingI overwhelmed horse,
؟?
سيفے

🔹X5🔹
🔹X5🔹
🔹X5🔹",0.0516
2023-02-13 09:48:04+00:00,"17:48:1专业 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:48:04+00:00,"Wow I just hit 10k followers, thanks everyone for love and support,am so happy 

I will be doing Giveaway of 500$ #BTC to the last person who like and retweet this post.

Drop your wallet address below 👇👇👇",0.952
2023-02-13 09:48:02+00:00,"Stewardle 237 4/6

🟥🟥⬆️⬆️⬇️⬆️
🟥🟥⬆️⬆️⬇️⬆️
🟩🟩⬆️⬇️⬆️⬇️
🟩🟩🟩🟩🟩🟩
 so many repeat drivers max chilton is next again",0.0
2023-02-13 09:48:04+00:00,"Be traced various sportive
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.0
2023-02-13 09:48:12+00:00,"17:48:9无套路 面付 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:48:17+00:00,"Your best assignment help services is here.

Forward all the instructions about your work. Payment in split 

MLA, APA, Harvard and Chicago style

#ncat #ncat23 #ncat24 #jsu #jsu23 #jsu24 #jsu25 #gsu #asu23 #asu24 #asu25 #tsu23 #ssu #su24 #su23",0.7845
2023-02-13 09:48:19+00:00,If you want buy car dier it no be twitter or ig. Cars sold at the garages are significantly less expensive than online.,-0.2263
2023-02-13 09:48:19+00:00,Lmao I just remembered I tried to od on melatonin gummies💀💀,0.5994
2023-02-13 09:48:20+00:00,my heart too soft. that’s why i don’t let no one touch it.,-0.296
2023-02-13 09:48:22+00:00,"Sorrow momentOr muscle.Or future... PC Scenario
؟?
نمشے

🔹KT22🔹
🔹KT22🔹
🔹KT22🔹",-0.5267
2023-02-13 09:48:23+00:00,"5:00 AM: The hour when legends are either waking up or going to bed. *~pinky~*

PRIYANKA WON FOR LIFE",0.6633
2023-02-13 09:48:23+00:00,Sky’s are prone to stay off-gray,0.0
2023-02-13 09:48:27+00:00,Be careful of people who lend you money &amp; keep quiet🤔,0.1531
2023-02-13 09:48:27+00:00,You and who tomorrow?,0.0
2023-02-13 09:48:27+00:00,"Give me one hour ,Im good
A week, Im great
A month, I will conquer a nation for you
I will slay demons and fly within angel uproar the sky
In my world, I will be everything
A thousand faces
When you think you know me
You will understand you know nothing
In my lucid worlds 😇",0.7906
2023-02-13 09:48:27+00:00,Say a prayer!,0.0
2023-02-13 09:48:28+00:00,me and my bf are so black cat (him) and orange cat (me),0.0
2023-02-13 09:48:28+00:00,"17:48:25专业 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:48:32+00:00,"GM everyone 
Have a good day slash week
Except SBF &amp; SEC
💀💀💀💀",0.2023
2023-02-13 09:48:34+00:00,"""glue"" Deprssed, Values Intense. track. extracted
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",0.4588
2023-02-13 09:48:36+00:00,"dark red - steve lacy
I think of her so much it drives me crazy",-0.34
2023-02-13 09:48:39+00:00,Drop Your handles lets follow now 🌷,-0.2732
2023-02-13 09:48:41+00:00,"Recharge. Glazed Large, Associate, ,there satisfaction,
؟?
نمشے

🔹FUN273🔹
🔹FUN273🔹
🔹FUN273🔹",0.4404
2023-02-13 09:48:41+00:00,"Coming to  #O2AcademyGlasgow this week 👀👇

Wed 15 Feb - @GojiraMusic w/ @AlienWeaponry, @employedtoserve 
Thu 16 Feb - @sti_fi 

See you there!",0.0
2023-02-13 09:48:41+00:00,"""Endure and survive"" is the key to persevering through adversity. This message of staying strong and steadfast in the face of obstacles serves as encouragement for those facing challenges. Never give up, it may be tough but it's worth it. #perseverance #determination #NeverGiveUp",0.4767
2023-02-13 09:48:42+00:00,//Ahem. Is there perhaps a Keyleth out there who would like to plot?,0.3612
2023-02-13 09:48:42+00:00,"This pod is ideal for meetings, brainstorming sessions, and important one-on-one conversations in private without disturbing the office – or the office disturbing you.

#Framery #FrameryQ #workspaceforall #workplacesynergies
 #acousticpods #acousticsolutions #workspacedesignideas",0.8626
2023-02-13 09:48:42+00:00,Anyone down to make me a Infinity revamp with IRL pictures 👀,0.0
2023-02-13 09:48:47+00:00,"But I realised that's not the case for me, since the start, I thought everyone was by my side, but in reality they all have long given up on me, I've been alone since the start, I just pretended I wasn't, I pretended I was happy with my life, I constantly lied about it too",-0.8719
2023-02-13 09:48:50+00:00,We think we're heading towards The Jetsons but we're really heading towards Wall-E.,0.0
2023-02-13 09:48:50+00:00,"You look tired. Remember to take a break sometimes, OK?",0.0085
2023-02-13 09:48:51+00:00,I can't leave you alone with this kind of destructive mindset. What kind of badass do you take me for?,-0.6483
2023-02-13 09:48:51+00:00,"psychic Creativeness. Bulbs, lover? So,but Cases
؟?
نمشے

🔹H122🔹
🔹H122🔹
🔹H122🔹",0.7882
2023-02-13 09:48:52+00:00,"Spy on every activities happening in you partner's account 
If you want to access your Boyfriend/Girlfriend for any social media
Inbox I'm available 24/7 for all hacking services
#hacked #Hackingtime #snapchat #Twitter #instagram #AWS #5G #9News",0.0772
2023-02-13 09:48:53+00:00,thinking about the time my (ex) roommates didnt let me have a midnights release party because of how crucial “sleep is for athletic performance” 🤕,0.4019
2023-02-13 09:48:54+00:00,Multiverse is getting CRAZY SICK!! I love it! 😜,-0.5916
2023-02-13 09:48:54+00:00,"17:48:51营业 面付 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 09:48:56+00:00,"The greatest glory in living lies not in never falling, but in rising every time we fall. -Nelson Mandela",0.4187
2023-02-13 09:48:59+00:00,“Respond to every call that excites your spirit.” ― Rumi,0.4767
2023-02-13 09:49:01+00:00,"Your shoes, your weave, and your purse
If you're 'bad' believe that I'm worse!
You be online, doing mad research, tryna cop some shit you see me in first!",-0.8881
2023-02-13 09:49:02+00:00,"untried. Identity Moves, prologue Simmered woman?
؟?
نمشے

🔹H80🔹
🔹H80🔹
🔹H80🔹",0.0
2023-02-13 09:49:03+00:00,"Shortcomings Feral sacred-adventure Corresponds Investment Teachers,
؟?
سيفے

🔹M1🔹
🔹M1🔹
🔹M1🔹",0.0
2023-02-13 09:49:04+00:00,"Even if I stole it, the fact I kissed her is enough! Their little romance is over!He won't have a single friend or lover!",0.8383
2023-02-13 09:49:04+00:00,i think about you when i listen to limbo,0.0
2023-02-13 09:49:07+00:00,"Recently realized that my previous 20 years of travel have a name, 'slow travel'. You don't go to a favorite destination once, you go 10 or more times to make it part of your life, so people there recognize you, your part of them, not just another tourist.",-0.357
2023-02-13 09:49:10+00:00,"Was. listeners Singularly Panentheistic Bullet, idiot.
؟?
سيفے

🔹M1🔹
🔹M1🔹
🔹M1🔹",-0.5106
2023-02-13 09:49:10+00:00,"PRIYANKA WON FOR LIFE
Life is either a daring adventure or nothing at all.",0.8494
2023-02-13 09:49:11+00:00,"What brings justify quitting your journey, you will also feel it
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.0
2023-02-13 09:49:12+00:00,"Share too Bravery, trust, is about the future. I don't need me. I
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.8271
2023-02-13 09:49:13+00:00,Patrick Mahomes 🐐,0.0
2023-02-13 09:49:13+00:00,"equally,"" Or. capable. like? popularity. Hughes
؟?
سيفے

🔹M1🔹
🔹M1🔹
🔹M1🔹",0.8205
2023-02-13 09:49:15+00:00,#NowPlaying Maoli - If I Said You Had a Beautiful  Body,0.5994
2023-02-13 09:49:16+00:00,Impulsively booking flights is self-care.,0.0
2023-02-13 09:49:16+00:00,I blacked out at a sorority date function and ended up throwing up outside a bowling alley and when I got back to the girls apartment I told her roommate to kill herself because she was from NOVA. Not my greatest moment tbh,-0.8429
2023-02-13 09:49:17+00:00,"fu**ing DateIn corner. Classical (pudgal)? Homes–our
؟?
سيفے

🔹FN77🔹
🔹FN77🔹
🔹FN77🔹",0.0
2023-02-13 09:49:20+00:00,Kingston: wS: 0.0 km/h; wD: -; wG: 1.6; tO: 13.4; rR: 0.0 mm/h,0.5719
2023-02-13 09:49:21+00:00,"Reacted Self-conscious Inevitable. teased. Leap. Coasting
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",-0.296
2023-02-13 09:49:22+00:00,"#BahriaTownMafiaExposed

Cheater Malik Riaz",-0.5423
2023-02-13 09:49:22+00:00,welcome back Caraa,0.4588
2023-02-13 09:49:23+00:00,#InspireKey starting in #Disneyland on 2023-03-05 is available #MagicKey 17305,0.0
2023-02-13 09:49:24+00:00,"Success.. exertion busyness Compare concern topmost
؟?
نمشے

🔹CX10🔹
🔹CX10🔹
🔹CX10🔹",0.0
2023-02-13 09:49:24+00:00,"Told herself. after they'd-He
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.0
2023-02-13 09:49:25+00:00,Every time a new regulation comes to fu** the traders I thank Good for having a full time job. Kuch bhi regulation aaye market to beat kerne ke tarike to trader dhund lenge but depending on trading alone it's going to be very tough.,-0.2475
2023-02-13 09:49:26+00:00,"17:49:24全国外围ysical Education: Have you ever seen mi,xed doubles, boys?One evening when Aglimmered.Returning from a hunting trip, I ,waited at the little town of Los Pinos, in Ne,w Mexico, for the south-bound train, which,e Summit House and discussed the functio❤",0.0
2023-02-13 09:49:28+00:00,i can ask about the f2f event for the photocard benefits of anyone wants them for key repackage. just comment here or DM,0.3818
2023-02-13 09:49:29+00:00,i should shut the fuck up fr,-0.5423
2023-02-13 09:49:29+00:00,"Q4: EBITDA NOK 33.6m vs cons NOK 19.2m (+74%)
Strategy update: 2025 targets reiterated
2023 estimates de-risked, positive share reaction warranted",0.7003
2023-02-13 09:49:33+00:00,"Been educated guy can make some differenceto another human
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.0
