created_at,text,sentiment
2023-02-13 11:27:48+00:00,"Just watched Rihanna's SuperBowl. She was beautiful, loved that she announced her second pregnancy during it. And... After all... It was Rihanna's show, literally. She performed hits, deep cuts, collabs and even though she wasn't so energetic (she's pregnant, of course)...",0.5531
2023-02-13 11:27:21+00:00,This pregnancy really gotta go .,0.0
2023-02-13 11:27:08+00:00,"Pregnancy is scary.., 🙆🏾‍♀️",0.0
2023-02-13 11:27:00+00:00,So funny to me the people slating Rihanna .. if you can’t appreciate a pregnant woman with how exhausting pregnancy is - with her lungs being crushed at present by a small human being - actually doing a 13 minute vocal/dance performance - shut up.,0.1513
2023-02-13 11:26:43+00:00,rih announcing a 2nd pregnancy at the SUPERBOWL yet no album or even song announcements... oh she's DONE done with music 😭😭😭😭🤕,-0.296
2023-02-13 11:26:02+00:00,Theee cutest pregnancy announcement,0.5859
2023-02-13 11:25:19+00:00,Twink pregnancy is real! Keep breeding that twink!,0.0
2023-02-13 11:25:03+00:00,annie opening about bells palsy during her pregnancy made me feel sorry her,-0.0772
2023-02-13 11:23:42+00:00,"I wish y’all would give Rihanna more grace. While she wasn’t as dynamic as you’d have liked, she is also very far along in her pregnancy. Pregnancy affects women quite differently and you don’t know how it affected her mobility. Let’s enjoy the performance for what it was.",0.9152
2023-02-13 11:23:01+00:00,They need to give her a BREAK🤣 she is pregnant!! Imagine performing at the superbowl on your period? Pregnancy is basically that on steroids,0.0
2023-02-13 11:22:25+00:00,"I was so sick during my pregnancy, in and out of the hospital. Had respiratory infections, putting stress on my heart and baby. I was so scared of miscarrying. Le doy gracias a Diosito por cuidarnos. 💙 One month closer to Adriel’s half birthday and its still feels surreal. 🤍💙",-0.8788
2023-02-13 11:22:12+00:00,Nobody hides a pregnancy better than Riri 😅,0.296
2023-02-13 11:21:27+00:00,"I want yall to know, yall hella funny with these pregnancy post😂😂😂",0.5413
2023-02-13 11:21:16+00:00,what a way to announce your pregnancy. 😭,0.0
2023-02-13 11:20:53+00:00,Rihanna so rude making people think she was going on tour or releasing new music and instead dropping a pregnancy announcement 😭,-0.5095
2023-02-13 11:20:35+00:00,"It seems people either loved the SB halftime show or found it underwhelming; I haven’t seen many “meh” opinions. Personally, I was bored. There was no true performance. Just walking from stage to stage, “singing” a few lines

Cute way to announce pregnancy, though.",0.7506
2023-02-13 11:20:25+00:00,"Rihanna was really smart for headlining the Super Bowl Halftime Show while being pregnant, so she can be lazy as her usual self and blame it all on the pregnancy! #SuperBowlLVII",0.5081
2023-02-13 11:18:45+00:00,I went to sleep with that pregnancy announcement on my mind and wake up still confused oui,-0.3182
2023-02-13 11:17:40+00:00,"That was more of a pregnancy announcement and it was giving Beyoncé at the 2011 MTV awards, just that Beyoncé sang her voice out and gave an electrifying performance and then ended it by famously announcing her pregnancy. 

In 2023 Beyoncé is still the standard.",0.6597
2023-02-13 11:17:28+00:00,A total 9 months pregnancy and she muss know me ?!,0.0
2023-02-13 11:17:24+00:00,Congratulations to @rihanna   on her amazing Super Bowl performance and the exciting news of her pregnancy! Wishing her all the love and blessings in this new journey 🎉❤️ #Rihanna #SuperBowl #PregnancyAnnouncement,0.9769
2023-02-13 11:17:18+00:00,How y’all feel bout Beyoncé . That’s how I am with RiRi I’m here for the pregnancy 😍🥰🥰😘,0.0
2023-02-13 11:16:24+00:00,rih has always been a lazy performer. pregnancy is just the latest justification for being lackluster on stage. wipe your tears and move on it was never gonna be anything more than what it was. she looked great.,0.1779
2023-02-13 11:15:49+00:00,Rihanna on her second pregnancy in a year and I’m still in texting stages 🥴,0.0
2023-02-13 11:15:44+00:00,"Announcement ladies!!!
Don't bother to post up the bag a pictures about @Rihanna in pregnant again! Don't catch baby fever. Most of you wont realized that she unveiled her pregnancy at her job🙄 ok!!! Secure that first🤨
@RihannaDaily @SavageXFenty",0.7785
2023-02-13 11:13:43+00:00,The fleahive are comparing pregnancy performances. 🥱So stupid. I’m so glad everyone is seeing just how insecure and hateful they truly are. Last week they were claiming to be advocates for black women when their fave lost AOTY. And this week they’re attacking Rih’s performance.,-0.6815
2023-02-13 11:13:31+00:00,Ugh pregnancy-fueled nightmares are no joke. I startled myself awake because I screamed in my dream and it audibly came out.,-0.5859
