created_at,text,sentiment,lang
2023-02-11 17:28:26+00:00,This been a crazy ass pregnancy and I’m ready for it to be over 🥹 lbs my mind wasn’t as near as bad wit Mylei as it is now.,-0.7845,en
2023-02-11 17:28:26+00:00,"This 🤰been so different in so many ways . But the one that has took me out is feeling like myself , feeling cute , In pregnancy it’s a struggle on confidence 😮‍💨 I be feeling so out of place so ugly so bad in clothes . I hate it . I want me back real bad",-0.9425,en
2023-02-11 17:28:13+00:00,"I just wanna get billions the same way y’all get pregnant, fast &amp; unplanned",0.0,en
2023-02-11 17:28:10+00:00,Lmdao “lucky you can’t get pregnant twice” 😂😂😂 ikyl https://t.co/U5KldQpjX7,0.0,en
2023-02-11 17:28:05+00:00,@kandylul Is she pregnant ?,0.0,en
2023-02-11 17:28:04+00:00,"@StephenKing Santos would say he couldn’t leave office because he’s essential to democracy.  Because once he helped a man and his pregnant wife on the side of a road.  He helped deliver that baby and they named their child after him, that child grew up to be George Washington.",-0.0516,en
2023-02-11 17:28:03+00:00,@JessicaValenti @bannerite They don't care. The Dobbs case was being argued at the same time Mississippi reported at least 72 stillbirths by Covid-infected mothers.  Pregnant women told to get vaxxed.  Gov continued misinfo campaign.,-0.6283,en
2023-02-11 17:28:00+00:00,Nngghh I woke up with the overwhelming urge to rape my own mother~ She’s nothing but porn meat for my gross gooner cock to stroke to~ I need to pound the womb I came from and fill her with my stinky incestous semen &lt;3 I’ll get mom pregnant with my inbred children~ Fucking slut &lt;3 https://t.co/DBTUCTZaTl,-0.9571,en
2023-02-11 17:27:59+00:00,"I wonder what the Matt Walsh types of the world will say once their (very stupid and logically flawed of course) trump card of ""durr trans women can't get pregnant therefore they aren't real women"" argument is no longer true. You know that goal post will immediately shift. https://t.co/XC1SHvMRkO",-0.1754,en
2023-02-11 17:27:55+00:00,@EmperorOfTrolls @lau56 @CollinRugg He was the one in the corner getting himself pregnant.,0.0,en
2023-02-11 17:27:54+00:00,"@TybilAlper @helenstaniland @GappyTales @helensaxby11 @SpringPumpkin1 @grace_hawthorn @MForstater @BlueArthropoda @SilverArrow1234 @j4ppleby I haven't seen anyone say women's subordination is natural in the 'natural order, thefore correct and unchangeable' sense, just that our unique vulnerability with pregnancy/childrearing has played a role in how that might have come about?",0.6705,en
2023-02-11 17:27:52+00:00,"@AzCowboy42 I pray you have no daughters. 

What a disgusting display of jack assery. Are all CONservative men cowards like this? 
Truly horrid. 

https://t.co/rwIhOoMo7K",-0.2323,en
2023-02-11 17:27:51+00:00,Jason Kelce's pregnant wife Kylie says she invited two doctors to the Super Bowl in case she goes into labor during the game https://t.co/gCgBCDkeIV,0.5994,en
2023-02-11 17:27:49+00:00,"@forrestkeaton As far as I can tell, precum is leftover fluids from your previous ejaculate which is unlikely to carry healthy sperm (unless it was within 12 hours).  I've only had a single pregnancy scare in my entire career of risky unprotected sex, and my swimmers are just fine.",-0.4588,en
2023-02-11 17:27:48+00:00,"@mattgaetz He stole a sandwich from a pregnant woman, Matt.",0.0,en
2023-02-11 17:27:39+00:00,Watching Harlem episode 3. Pussy popping on a handstand is how I got pregnant. Y'all need to stop letting y'all friends give you sex advice https://t.co/UQJOmaVQYn,0.2263,en
2023-02-11 17:27:38+00:00,"How can you get a lady pregnant, abandoned her and the child for years only to come back and say you want to play your role as a father? Arakunrin, you are a sperm donor and not a Father.",-0.0772,en
2023-02-11 17:27:35+00:00,"A king whose kingdom is conquered ceases to be a king. Same with when your woman cheats.. it means another man conquered her and by extension, you. The thought is crazy. Also, cheating is more detrimental to men.. she might pin a pregnancy on you which is not yours.. crazy shit. https://t.co/KLbRqPnyBj",-0.6679,en
2023-02-11 17:27:33+00:00,"@Zoey_OTL @lecanardnoir Women use the toilet to pee, change tampons, wash out menstrual cups, wash stained clothing, get away from aggressive men, take a breath in female only company, vomit during pregnancy, change their babies, toilet their toddlers...and you?",-0.1531,en
2023-02-11 17:27:29+00:00,@MSN The Headline should have read “Thousands of pregnant Russian women are smarter than Putin” in being preemptive.,0.4588,en
2023-02-11 17:27:28+00:00,@uncle_june Matt Healy explaining why it's morally good to set fire to horses and beat pregnant teenagers to death https://t.co/ADqKqoRBzq,-0.5267,en
2023-02-11 17:27:26+00:00,"@Jen73085254 @redusa21 @cybermom1999 And slavery is now not legal, therefore women do not have to stay pregnant if they do not wish to be pregnant.",-0.814,en
2023-02-11 17:27:26+00:00,"We support students in STI/CONDOMS &amp; PREGNANCY AWARENESS CAMPAIGN
Indeed, their ""Creating Future Leaders"" @ South Africa https://t.co/IBF4k6tYkU",0.5994,en
2023-02-11 17:27:23+00:00,Dealing with PTSD from my first pregnancy is so something I don’t wish on any other woman. This shit eats you alive.,0.2415,en
2023-02-11 17:27:14+00:00,"@unknownvariant1 @FrMatthewLC @rightscholar No. An abortion literally means termination of pregnancy. The physician’s intention is to “terminate pregnancy”. And how would you know what necessities exist/don’t exist/for others, or that strangers intend to “kill” a “child”?",-0.296,en
2023-02-11 17:27:13+00:00,@JebraFaushay If a man gets pregnant is because she’s a woman. TWO JENDERS! Everything else is made up by the new woke liberals that need attention. https://t.co/8Uc3mCqB7S,0.0,en
2023-02-11 17:27:10+00:00,"A gente tem um plano para nós, mas Deus já deixa tudo escrito e essa se tornou a página mais mágica da minha vida, mi baby ❤️✨

.

 #pregnant #tresmeses #maedeprimeiraviagem em São Paulo, Brazil https://t.co/WHyTj91c2l",0.0,pt
2023-02-11 17:27:10+00:00,I get pregnancy synonyms when I’m on my period like it’s so irritating can’t eat can’t move all I wanna do is sleep.,-0.2006,en
